gornje baredine - baredine di sopra|7a|baredine - baredine
kaštanjež|43|banjole
flegova ulica - via frane flego|25|pula
kastavska ulica - via castua|39b|pula
ulica komunal - via comunal|67|pula
selo-varoš|70i|premantura
ulica sv. jurja - via san giorgio|3|pula
valdragonska ulica - via valdragon|5|pula
ulica marsovog polja - via campo marzio|12|pula
selo-varoš|146|premantura
ulica komunal - via comunal|77|pula
runke|10|premantura
ulica kaštanjer - via castagner|48|pula
busolerska ulica - via busoler|55|pula
busolerska ulica - via busoler|17|pula
pomer|128|pomer
runjačica|47|premantura
gortanova ulica - via vladimir gortan|10|pula
gortanova ulica - via vladimir gortan|8|pula
runjačica|89|premantura
selo-varoš|56h|premantura
selo-varoš|70c|premantura
put od fortica - strada dei forti|145|pula
ulica agnana - via agnana|18|pula
ulica drenovica - via cornial|8|pula
munte|100|premantura
humska ulica - via colmo|1|pula
ulica komunal - via comunal|78|pula
munte|80|premantura
pomer|104|pomer
pomer|100|pomer
ulica jasne crnobori - via jasna crnobori|74|pula
glavica|14|banjole
facchinettijeva ul. - via antonio facchinetti|7|pula
krše|10|premantura
paredine|47|premantura
ulica kaštanjer - via castagner|45|pula
palladiova ulica - via andrea palladio|2|pula
radićeva ulica - via stjepan radić|39|pula
put od fortica - strada dei forti|169|pula
hrboki|1b|hrboki
paredine|6|premantura
ulica komunal - via comunal|55|pula
facchinettijeva ul. - via antonio facchinetti|17|pula
ulica jasne crnobori - via jasna crnobori|103|pula
krše|94|premantura
puntera|1c|puntera
dvorine|102|banjole
krležina ulica - via miroslav krleža|29|pula
dvorine|21|banjole
busolerska ulica - via busoler|39|pula
ulica jasne crnobori - via jasna crnobori|82|pula
munte|84|premantura
gervaisova ulica - via drago gervais|65|pula
mutilska ulica - via mutila|63|pula
krše|69|premantura
paredine|7|premantura
mutilska ulica - via mutila|61|pula
dvorine|118|banjole
pomer|295|pomer
paredine|2|premantura
milanovićeva ulica - via božo milanović|16|pula
selo-varoš|70f|premantura
benčićeva ulica - via dragomir benčić|25|pula
krše|77b|premantura
humska ulica - via colmo|3|pula
hrboki|62|hrboki
busolerska ulica - via busoler|28|pula
busolerska ulica - via busoler|74|pula
munte|130|premantura
ulica braće levak - via fratelli levak|9|pula
facchinettijeva ul. - via antonio facchinetti|21|pula
regulići|28a|vadreš
selo-varoš|150|premantura
put od fortica - strada dei forti|199|pula
hrboki|1|hrboki
humska ulica - via colmo|8|pula
puntera|11a|puntera
kaštanjež|6|banjole
tommaseova ulica - via nicolò tommaseo|20|pula
puntera|55|puntera
busolerska ulica - via busoler|27|pula
krše|55|premantura
milanovićeva ulica - via božo milanović|6|pula
puntera|3|puntera
dvorine|92|banjole
selo-varoš|83|premantura
humska ulica - via colmo|5|pula
put od fortica - strada dei forti|43|pula
krše|8|premantura
kvarnerska ulica - via quarnero|2|pula
munte|138|premantura
kaštanjež|82|banjole
munte|52a|premantura
runjačica|36|premantura
busolerska ulica - via busoler|37|pula
krše|35|premantura
munte|37|premantura
kosova ulica - via bruno kos|9|pula
hrboki|28|hrboki
rebići|18e|rebići
carlijeva ulica - via gianrinaldo carli|53|pula
gortanova ulica - via vladimir gortan|4|pula
munte|62|premantura
krše|77a|premantura
buzetska ulica - via pinguente|7|pula
selo-varoš|77f|premantura
hrboki|7|hrboki
dvorine|36|banjole
zoranićeva ulica - via petar zoranić|11|pula
dvorine|33b|banjole
bastianova ulica - via mate bastian|32|pula
munte|90|premantura
runke|12|premantura
ulica sv. jurja - via san giorgio|1|pula
cerneccina ulica - via domenico cernecca|10|pula
liburnijska ulica - via dei liburni|4|pula
runke|5|premantura
busolerska ulica - via busoler|78|pula
selo-varoš|22b|premantura
runjačica|91|premantura
runjačica|60|premantura
munte|92|premantura
munte|59|premantura
ulica komunal - via comunal|30|pula
put od fortica - strada dei forti|163|pula
ulica drenovica - via cornial|6|pula
paredine|46|premantura
kaštanjež|30|banjole
selo-varoš|45|premantura
benčićeva ulica - via dragomir benčić|66|pula
munte|39|premantura
busolerska ulica - via busoler|26|pula
ulica begovica - via begovizza|34|pula
kaštanjež|65|banjole
ulica jasne crnobori - via jasna crnobori|111|pula
munte|30|premantura
dvorine|82|banjole
selo-varoš|56b|premantura
runjačica|44|premantura
savičentska ulica - via sanvincenti|4|pula
ulica komunal - via comunal|115|pula
kaštanjež|70a|banjole
busolerska ulica - via busoler|90|pula
argonautska ulica - via degli argonauti|71|pula
put od fortica - strada dei forti|157|pula
industrijska ulica - via dell'industria|13|pula
ulica monte karoca - via monte carota|4|pula
krše|68|premantura
glavica|13a|banjole
ulica dragonja - via dragogna|14|pula
dobricheva ulica - via sergio dobrich|16|pula
tommaseova ulica - via nicolò tommaseo|18|pula
banovčeva ulica - via aldo banovac|27|pula
arsenalska ulica - via dell'arsenale|7|pula
radićeva ulica - via stjepan radić|32|pula
mutilska ulica - via mutila|107|pula
ulica monte karoca - via monte carota|6|pula
uspon konzula istranina - clivo stjepan konzul istranin|16|pula
selo-varoš|77c|premantura
krše|78|premantura
milanovićeva ulica - via božo milanović|24|pula
put od fortica - strada dei forti|53|pula
cerneccina ulica - via domenico cernecca|8|pula
prilaz kralja salamona - via re salomone|4|pula
ulica begovica - via begovizza|6|pula
bastianova ulica - via mate bastian|16|pula
ulica begovica - via begovizza|15|pula
de franceschijeva ulica - via camillo de franceschi|74|pula
dukićeva ulica - via ante dukić|1|pula
benussijeva ulica - via berndardo benussi|54|pula
hrboki|1a|hrboki
šenoina ulica - via august šenoa|32|pula
santoriova ulica - via santorio santorio|11|pula
krležina ulica - via miroslav krleža|15|pula
krše|79a|premantura
ulica komunal - via comunal|27|pula
hrboki|5|hrboki
busolerska ulica - via busoler|24|pula
puntera|5|puntera
runke|24|premantura
japodska ulica - via dei giapidi|3|pula
krše|5|premantura
runjačica|57|premantura
milanovićeva ulica - via božo milanović|20|pula
beloći|10|rebići
busolerska ulica - via busoler|19|pula
pomer|113|pomer
ulica komunal - via comunal|70|pula
prhati|5|prhati
pomer|52|pomer
ulica sv. jurja - via san giorgio|13|pula
barbalićeva ulica - via fran barbalić|11|pula
runjačica|78|premantura
busolerska ulica - via busoler|86|pula
ulica marsovog polja - via campo marzio|35|pula
runjačica|1|premantura
glavica|17|banjole
pomer|114|pomer
ulica drenovica - via cornial|1|pula
kaštanjež|84|banjole
facchinettijeva ul. - via antonio facchinetti|1|pula
glavica|15|banjole
kamik|15|banjole
kaštanjež|19|banjole
kaštanjež|37|banjole
koparska ulica - via capodistria|15|pula
put od fortica - strada dei forti|131|pula
paredine|5|premantura
industrijska ulica - via dell'industria|15a|pula
ulica monte karoca - via monte carota|8|pula
kaštanjež|20|banjole
busolerska ulica - via busoler|51|pula
kosova ulica - via bruno kos|47|pula
brig|22|premantura
kaštanjež|69|banjole
ulica begovica - via begovizza|2|pula
ulica begovica - via begovizza|44|pula
paredine|32|premantura
selo-varoš|77g|premantura
busolerska ulica - via busoler|92|pula
dračice|53a|banjole
krležina ulica - via miroslav krleža|17|pula
krše|29|premantura
dvorine|47|banjole
benussijeva ulica - via berndardo benussi|48|pula
facchinettijeva ul. - via antonio facchinetti|15a|pula
kaštanjež|53|banjole
indije|30|banjole
ulica agnana - via agnana|16|pula
de franceschijeva ulica - via camillo de franceschi|80|pula
munte|11|premantura
hrboki|27|hrboki
kaštanjež|76|banjole
šenoina ulica - via august šenoa|34|pula
bateli kod prhati|14a|prhati
ulica marsovog polja - via campo marzio|17|pula
kaštanjež|21|banjole
industrijska ulica - via dell'industria|21|pula
selo-varoš|85a|premantura
milanovićeva ulica - via božo milanović|10|pula
tommaseova ulica - via nicolò tommaseo|12|pula
kaštanjež|49|banjole
runjačica|30|premantura
gervaisova ulica - via drago gervais|67|pula
rebići|3b|rebići
rebići|15|rebići
dvorine|75|banjole
runjačica|41|premantura
kaštanjež|57|banjole
kaštanjež|35|banjole
kaštanjež|11|banjole
frkeči|41|melnica
prhati|9b|prhati
put od fortica - strada dei forti|165|pula
ulica drenovica - via cornial|10|pula
runjačica|70|premantura
busolerska ulica - via busoler|94|pula
munte|61|premantura
kaštanjež|25|banjole
puntera|35a|puntera
grožnjanska ulica - via grisignana|13|pula
dvorine|69|banjole
melnica|15a|melnica
dračice|35a|banjole
ulica horvata kiša - via franjo horvat kiš|5|pula
šenoina ulica - via august šenoa|28|pula
stankovićeva ulica - via pietro stancovich|39|pula
kamik|27|banjole
gervaisova ulica - via drago gervais|58|pula
milanovićeva ulica - via božo milanović|8|pula
glavica|19|banjole
indije|23|banjole
ulica agnana - via agnana|12|pula
bastianova ulica - via mate bastian|28|pula
mavrići|26a|vadreš
ulica dragonja - via dragogna|7|pula
ulica agnana - via agnana|14|pula
kaštanjež|50|banjole
hrboki|57|hrboki
kaštanjež|12|banjole
indije|65|banjole
milanovićeva ulica - via božo milanović|9|pula
ulica fojbon - via foibon|5|pula
dvorine|18|banjole
paredine|44|premantura
kaštanjež|34|banjole
munte|8a|premantura
ulica begovica - via begovizza|19|pula
čimulje|19a|banjole
indije|45|banjole
puntera|34a|puntera
runke|7|premantura
indije|67|banjole
dračice|30a|banjole
runjačica|8|premantura
gortanova ulica - via vladimir gortan|12|pula
kraška ulica - via del carso|12|pula
pomer|110|pomer
kaštanjež|22|banjole
indije|48|banjole
glavica|36|banjole
kaštanjež|15|banjole
regulići|33|vadreš
kaštanjež|16|banjole
selo-varoš|85d|premantura
indije|47|banjole
jadreški|38a|jadreški
gorica|17|sutivanac
gorica|2a|sutivanac
valtursko polje|113|valtura
varož|2b|sutivanac
varož|9|sutivanac
gorica|11b|sutivanac
varož|4b|sutivanac
risi|16a|sutivanac
risi|23|sutivanac
cvitići|21|sutivanac
cvitići|28|sutivanac
cvitići|24|sutivanac
cvitići|22|sutivanac
cvitići|16|sutivanac
cvitići|23|sutivanac
ulica valkane - via valcane|6|pula
put za kanalić - via canaletto|37|pula
ulica baližerka - via barisella|85|pula
ulica lungera - via longhera|14|pula
ulica puntižela - via puntisella|45|pula
štinjanska cesta - via stignano|51|pula
valtura|8b|valtura
manjadvorci|18a|manjadvorci
valtura|41a|valtura
kalčeva ulica - via jurica kalc|18|pula
ulica kašćuni - via castion|77|pula
templarski prilaz - via dei templari|4|pula
prdajci|64a|manjadvorci
manjadvorci|31a|manjadvorci
valtura|140b|valtura
ulica kašćuni - via castion|34|pula
ulica trsine - via trsine|6|pula
put za kanalić - via canaletto|35|pula
ulica puntižela - via puntisella|42|pula
hreljići|16|hreljići
ulica baližerka - via barisella|59|pula
štinjanska cesta - via stignano|96|pula
ulica kašćuni - via castion|37|pula
ušići dvori|185|valtura
ulica varoš - via varos|43|pula
štinjanska cesta - via stignano|8|pula
ulica baližerka - via barisella|77|pula
ulica valovine - via valovine|20|pula
ulica kašćuni - via castion|95|pula
furlanski prilaz - via dei furlani|7|pula
ulica baližerka - via barisella|83|pula
furlanski prilaz - via dei furlani|2|pula
ulica puntižela - via puntisella|65|pula
ulica kozada - via cosada|14|pula
ulica valkane - via valcane|8|pula
manjadvorci|28|manjadvorci
valtura|216|valtura
ulica šurida - via surida|43|pula
ulica puntižela - via puntisella|68|pula
ulica kozada - via cosada|9|pula
ulica selo - via selo|24|pula
ulica kašćuni - via castion|24|pula
ulica lungera - via longhera|23|pula
ulica pelini - via pelini|15|pula
ulica valcereš - via valceres|33|pula
glavani|1|glavani
ulica varoš - via varos|27|pula
ulica puntižela - via puntisella|69|pula
ulica kašćuni - via castion|25|pula
ulica valcereš - via valceres|13|pula
valtura|162|valtura
ulica kašćuni - via castion|61|pula
glavani|30|glavani
valtura|49a|valtura
ulica puntižela - via puntisella|78|pula
ulica kašćuni - via castion|23|pula
ulica kašćuni - via castion|8|pula
valtura|45|valtura
ulica trsine - via trsine|33|pula
ulica puntižela - via puntisella|52|pula
put za kanalić - via canaletto|39|pula
templarski prilaz - via dei templari|14|pula
hreljići|24a|hreljići
ulica kašćuni - via castion|31|pula
templarski prilaz - via dei templari|6|pula
valtura|141|valtura
ulica baližerka - via barisella|25|pula
ulica puntižela - via puntisella|50|pula
ulica baližerka - via barisella|24|pula
ulica puntižela - via puntisella|77|pula
ulica kozada - via cosada|7|pula
ulica fortin - via fortin|6|pula
kalčeva ulica - via jurica kalc|5|pula
trlji|45|orihi
ulica valcereš - via valceres|14|pula
ulica baližerka - via barisella|33|pula
ulica kašćuni - via castion|13|pula
ulica kozada - via cosada|32|pula
manjadvorci|15|manjadvorci
manjadvorci|14|manjadvorci
ulica valdefora - via valdefora|2|pula
ulica trsine - via trsine|10|pula
valtura|40a|valtura
valtursko polje|211|valtura
ulica puntižela - via puntisella|28|pula
manjadvorci|72|manjadvorci
hreljići|37|hreljići
medančići|3|sutivanac
ulica baližerka - via barisella|7|pula
ulica kašćuni - via castion|103|pula
biletići|44|hreljići
ulica pelini - via pelini|2|pula
ulica kašćuni - via castion|105|pula
ulica kozada - via cosada|1|pula
ulica varoš - via varos|1|pula
ulica puntižela - via puntisella|55a|pula
ulica valcereš - via valceres|19|pula
ulica baližerka - via barisella|11|pula
ulica kozada - via cosada|11|pula
manjadvorci|19|manjadvorci
ulica valdefora - via valdefora|3|pula
ulica valcereš - via valceres|31|pula
kalčeva ulica - via jurica kalc|21|pula
ulica monte serpo - via monte serpo|8|pula
belavići|18|belavići
ulica puntižela - via puntisella|70|pula
ulica baližerka - via barisella|28|pula
grgeci|13a|sutivanac
ulica baližerka - via barisella|18|pula
hreljići|8|hreljići
kalčeva ulica - via jurica kalc|6|pula
ulica varoš - via varos|58|pula
ulica baližerka - via barisella|31|pula
štinjanska cesta - via stignano|22|pula
ulica baližerka - via barisella|53|pula
ulica valcereš - via valceres|11|pula
ulica kozada - via cosada|6|pula
valtura|35b|valtura
ulica trsine - via trsine|14|pula
ulica puntižela - via puntisella|37|pula
ulica valdefora - via valdefora|1|pula
valtura|102b|valtura
manjadvorci|2|manjadvorci
ulica kašćuni - via castion|107|pula
paduljski put - via paduli|87a|pula
put za kanalić - via canaletto|23|pula
glavani|29|glavani
valtura|4b|valtura
ulica valdefora - via valdefora|14|pula
ulica varoš - via varos|56|pula
ulica šurida - via surida|21|pula
ulica baližerka - via barisella|51|pula
ulica kašćuni - via castion|11|pula
ulica pelini - via pelini|8|pula
ulica pradorlando - via prá d'orlando|13|pula
kalčeva ulica - via jurica kalc|7|pula
ulica puntižela - via puntisella|79|pula
ulica baližerka - via barisella|30|pula
ulica kašćuni - via castion|111|pula
štinjanska cesta - via stignano|1|pula
ulica kašćuni - via castion|59|pula
ulica baližerka - via barisella|55|pula
prilaz runci - via ronzi|14|pula
turulska ulica - via turulla|2|pula
ulica kozada - via cosada|2|pula
ulica puntižela - via puntisella|83|pula
ulica valkane - via valcane|9|pula
valtura|17a|valtura
ulica lungera - via longhera|4|pula
ulica valdemuška - via val de mosca|10|pula
ulica pužar - via puzar|30|pula
rapanji|16|sutivanac
valtura|33c|valtura
ulica baližerka - via barisella|9|pula
manjadvorci|38|manjadvorci
manjadvorci|25|manjadvorci
valtura|25b|valtura
ulica valcereš - via valceres|17|pula
modrušanov prilaz - via tone modrušan|9|pula
ulica valdemuška - via val de mosca|12|pula
ulica puntižela - via puntisella|71|pula
ulica puntižela - via puntisella|43|pula
valtura|138b|valtura
ulica lungera - via longhera|2|pula
ulica kašćuni - via castion|48|pula
ulica pradorlando - via prá d'orlando|12|pula
ulica kozada - via cosada|30|pula
kalčeva ulica - via jurica kalc|3|pula
medančići|1|sutivanac
valtura|167b|valtura
templarski prilaz - via dei templari|12|pula
modrušanov prilaz - via tone modrušan|7|pula
biletići|39|hreljići
manjadvorci|71|manjadvorci
kalčeva ulica - via jurica kalc|12|pula
ulica varoš - via varos|59|pula
ulica valovine - via valovine|16|pula
šandaljska ulica - via san daniele|4|pula
ulica vallelunga - via vallelunga|4|pula
ulica pužar - via puzar|28|pula
ulica trsine - via trsine|25|pula
ulica kašćuni - via castion|63|pula
valtura|71b|valtura
kalčeva ulica - via jurica kalc|8|pula
manjadvorci|67|manjadvorci
valtura|129|valtura
hreljići|28b|hreljići
ulica baližerka - via barisella|79|pula
ulica varoš - via varos|31|pula
kalčeva ulica - via jurica kalc|15|pula
ulica sv. margarete - via santa margherita|15|pula
ulica kašćuni - via castion|16|pula
templarski prilaz - via dei templari|10|pula
štinjanska cesta - via stignano|3|pula
ulica kašćuni - via castion|67|pula
valtura|35|valtura
ulica lungera - via longhera|16|pula
ulica puntižela - via puntisella|31|pula
ulica vallelunga - via vallelunga|8|pula
ulica pradorlando - via prá d'orlando|3|pula
modrušanov prilaz - via tone modrušan|6|pula
ulica varoš - via varos|17|pula
ulica kašćuni - via castion|75|pula
valtura|40b|valtura
štinjanska cesta - via stignano|36|pula
valtura|102|valtura
ulica pužar - via puzar|23|pula
ulica kašćuni - via castion|29|pula
ulica trsine - via trsine|15|pula
ulica baližerka - via barisella|128|pula
valtura|30|valtura
ulica kozada - via cosada|4|pula
ulica puntižela - via puntisella|54|pula
ulica varoš - via varos|46|pula
prdajci|65a|manjadvorci
ulica fortin - via fortin|20|pula
ulica kašćuni - via castion|99|pula
valtura|1b|valtura
ulica šurida - via surida|39|pula
manjadvorci|58|manjadvorci
ulica šurida - via surida|35|pula
ulica valcereš - via valceres|21|pula
valtura|35a|valtura
štinjanska cesta - via stignano|53|pula
ulica kašćuni - via castion|79|pula
valtura|33b|valtura
ulica puntižela - via puntisella|21|pula
put za kanalić - via canaletto|10|pula
valtursko polje|200|valtura
manjadvorci|35|manjadvorci
manjadvorci|40|manjadvorci
glavani|24|glavani
ulica fortin - via fortin|18|pula
medančići|13a|sutivanac
valtura|117a|valtura
ulica valdefora - via valdefora|13|pula
valtura|182|valtura
valtura|167|valtura
valtura|180|valtura
hreljići|31|hreljići
kalčeva ulica - via jurica kalc|4|pula
ulica trsine - via trsine|17|pula
valtura|13a|valtura
ulica selo - via selo|27|pula
ulica šurida - via surida|13|pula
ulica baližerka - via barisella|61|pula
ulica kašćuni - via castion|109|pula
ulica baližerka - via barisella|95|pula
ulica kašćuni - via castion|42|pula
ulica pradorlando - via prá d'orlando|24|pula
ulica kašćuni - via castion|18|pula
ulica puntižela - via puntisella|44|pula
bratulići|16|bratulići
manjadvorci|70|manjadvorci
valtura|33a|valtura
ulica sv. margarete - via santa margherita|19|pula
ulica kozada - via cosada|28|pula
ulica puntižela - via puntisella|66|pula
ulica puntižela - via puntisella|46|pula
manjadvorci|34|manjadvorci
ulica valovine - via valovine|32|pula
manjadvorci|54|manjadvorci
bašići|4|sutivanac
manjadvorci|36|manjadvorci
ulica pradorlando - via prá d'orlando|22|pula
ulica kašćuni - via castion|46|pula
valtura|42|valtura
ulica varoš - via varos|20|pula
kalčeva ulica - via jurica kalc|10|pula
ulica pužar - via puzar|26|pula
ulica kašćuni - via castion|97|pula
ulica trsine - via trsine|2|pula
ulica fortin - via fortin|9|pula
ulica kozada - via cosada|16|pula
ulica valkane - via valcane|5|pula
štinjanska cesta - via stignano|26|pula
ulica valdemuška - via val de mosca|1|pula
manjadvorci|13|manjadvorci
ulica valdefora - via valdefora|10|pula
ulica baližerka - via barisella|67|pula
ulica trsine - via trsine|19|pula
ulica varoš - via varos|61|pula
ulica baližerka - via barisella|26|pula
ulica baližerka - via barisella|27|pula
furlanski prilaz - via dei furlani|6|pula
valtura|62|valtura
ulica puntižela - via puntisella|55|pula
ulica valovine - via valovine|12|pula
modrušanov prilaz - via tone modrušan|8|pula
kalčeva ulica - via jurica kalc|1|pula
ulica kašćuni - via castion|4|pula
ulica pužar - via puzar|7|pula
valtura|62a|valtura
ulica kozada - via cosada|5|pula
kalčeva ulica - via jurica kalc|22|pula
ulica lungera - via longhera|7|pula
kalčeva ulica - via jurica kalc|14|pula
ulica pradorlando - via prá d'orlando|6|pula
valtura|9a|valtura
ulica kašćuni - via castion|44|pula
valtura|62b|valtura
modrušanov prilaz - via tone modrušan|17|pula
glavani|2a|glavani
put za kanalić - via canaletto|27|pula
put za kanalić - via canaletto|29|pula
kalčeva ulica - via jurica kalc|2|pula
ulica puntižela - via puntisella|33|pula
ulica baližerka - via barisella|29|pula
ulica valcereš - via valceres|15|pula
belavići|5|belavići
ulica baližerka - via barisella|16|pula
prilaz runci - via ronzi|5|pula
manjadvorci|5|manjadvorci
valtura|41|valtura
manjadvorci|30a|manjadvorci
ulica selo - via selo|21|pula
ulica varoš - via varos|57|pula
ulica puntižela - via puntisella|19|pula
ulica pelini - via pelini|6|pula
ulica valdefora - via valdefora|11|pula
ulica baližerka - via barisella|81|pula
bašići|1|sutivanac
ulica lungera - via longhera|12|pula
ulica lungera - via longhera|9|pula
ulica baližerka - via barisella|69|pula
ulica varoš - via varos|44|pula
ulica kašćuni - via castion|6|pula
ulica varoš - via varos|62|pula
furlanski prilaz - via dei furlani|3|pula
valtura|164a|valtura
ulica puntižela - via puntisella|26|pula
valtura|31|valtura
valtura|22b|valtura
bašići|2|sutivanac
ulica puntižela - via puntisella|73|pula
hreljići|1a|bratulići
ulica kašćuni - via castion|101|pula
ulica valkane - via valcane|1|pula
ulica kozada - via cosada|3|pula
prdajci|61|manjadvorci
valtura|46|valtura
ulica baližerka - via barisella|47|pula
put za kanalić - via canaletto|43|pula
ulica puntižela - via puntisella|35|pula
valtura|137a|valtura
valtura|44a|valtura
valtura|117b|valtura
bašići|3|sutivanac
ulica puntižela - via puntisella|67|pula
ulica trsine - via trsine|8|pula
ulica lungera - via longhera|5|pula
valturska ulica - via altura|78/4|pula
valturska ulica - via altura|78/6|pula
valturska ulica - via altura|78/3|pula
valturska ulica - via altura|78/5|pula
pješčana uvala|3|ogranak 7 pješčana uvala
pješčana uvala|3|ogranak 3 pješčana uvala
pješčana uvala|5|ogranak 17 pješčana uvala
centar|58|vinkuran
pješčana uvala|4|ogranak 9 pješčana uvala
debeli vrv|15a|vinkuran
centar|60|vinkuran
kučine|92|vinkuran
pješčana uvala|7|ogranak 2 pješčana uvala
pješčana uvala|1|ogranak 17 pješčana uvala
debeli vrv|39|vinkuran
fažanska cesta - via fasana|51|pula
ušići dvori|189|valtura
debeli vrv|65|vinkuran
pješčana uvala|4|ogranak 41 pješčana uvala
debeli vrv|19|vinkuran
barban|46c|barban
vintijan|123|vintijan
fažanska cesta - via fasana|22c|pula
pješčana uvala|10|ogranak 2 pješčana uvala
pješčana uvala|9|ogranak 16 pješčana uvala
pješčana uvala|4|ogranak 8a pješčana uvala
debeli vrv|64|vinkuran
pješčana uvala|1|ogranak 2 pješčana uvala
pješčana uvala|6|ogranak 15 pješčana uvala
butkovićeva ulica - via vid butković|3|pula
debeli vrv|41|vinkuran
pješčana uvala|6|ogranak 23 pješčana uvala
barban|135|barban
barban|50a|barban
pješčana uvala|7|ogranak 43 pješčana uvala
partizanski put - strada dei partigiani|51|pula
debeli vrv|14|vinkuran
valtura|215|valtura
pješčana uvala|10|ogranak 14 pješčana uvala
pješčana uvala|5|ogranak 6 pješčana uvala
pješčana uvala|3|ogranak 15 pješčana uvala
pješčana uvala|2|ogranak 42 pješčana uvala
put od fortica - strada dei forti|269|pula
pješčana uvala|10|ogranak 4 pješčana uvala
pješčana uvala|5|ogranak 33 pješčana uvala
creska ulica - via cherso|5|pula
pješčana uvala|6|ogranak 20 pješčana uvala
ulica lungera - via longhera|3|pula
bunarska cesta - strada dei pozzi|49|pula
pješčana uvala|2|ogranak 41 pješčana uvala
vintijan|80|vintijan
vintijan|134|vintijan
pješčana uvala|6|ogranak 3 pješčana uvala
pješčana uvala|5|ogranak 21 pješčana uvala
varetonova stancija - stanzia vareton|27|pula
debeli vrv|72|vinkuran
petrovićeva ulica - via mate petrović|30|pula
pješčana uvala|3|ogranak 28 pješčana uvala
ulica trsine - via trsine|27|pula
pješčana uvala|2|ogranak 17 pješčana uvala
pješčana uvala|5|ogranak 29a pješčana uvala
pješčana uvala|9|ogranak 28 pješčana uvala
ulica ližnjamoro - via lisgnamoro|15|pula
pješčana uvala|2|ogranak 40 pješčana uvala
pješčana uvala|2|ogranak 2 pješčana uvala
debeli vrv|17|vinkuran
pješčana uvala|2|ogranak 24 pješčana uvala
pješčana uvala|5|ogranak 42 pješčana uvala
petrovićeva ulica - via mate petrović|28|pula
ušići dvori|174a|valtura
petrovićeva ulica - via mate petrović|32|pula
debeli vrv|47|vinkuran
krše|43a|premantura
pješčana uvala|4|ogranak 15 pješčana uvala
debeli vrv|38|vinkuran
creska ulica - via cherso|1|pula
brunjakova ulica - via josip brunjak|24|pula
dukićeva ulica - via ante dukić|2|pula
pješčana uvala|3|ogranak 1 pješčana uvala
dukićeva ulica - via ante dukić|1a|pula
pješčana uvala|2|ogranak 20 pješčana uvala
pješčana uvala|3|ogranak 17 pješčana uvala
debeli vrv|28|vinkuran
ulica marsovog polja - via campo marzio|61|pula
pješčana uvala|3|ogranak 13 pješčana uvala
pješčana uvala|5|ogranak 40 pješčana uvala
pješčana uvala|2|ogranak 19 pješčana uvala
pješčana uvala|3|ogranak 19 pješčana uvala
pješčana uvala|2|ogranak 11 pješčana uvala
brunjakova ulica - via josip brunjak|14|pula
petehi|2a|petehi
debeli vrv|43|vinkuran
cota|5|vinkuran
ušići dvori|190a|valtura
varetonova stancija - stanzia vareton|19|pula
pješčana uvala|1|ogranak 21 pješčana uvala
ulica kašćuni - via castion|33|pula
kamik|33|banjole
pješčana uvala|3|ogranak 9 pješčana uvala
pješčana uvala|3|ogranak 18 pješčana uvala
selo-varoš|57a|premantura
butkovićeva ulica - via vid butković|7|pula
pješčana uvala|3|ogranak 12 pješčana uvala
premanturska|188|valbonaša
pješčana uvala|2|ogranak 27 pješčana uvala
varetonova stancija - stanzia vareton|21a|pula
pješčana uvala|5|ogranak 38 pješčana uvala
pješčana uvala|3|ogranak 10 pješčana uvala
ulica ližnjamoro - via lisgnamoro|29|pula
pješčana uvala|6|ogranak 9 pješčana uvala
pješčana uvala|6|ogranak 12 pješčana uvala
pješčana uvala|6|ogranak 6 pješčana uvala
pješčana uvala|6|ogranak 19 pješčana uvala
varetonova stancija - stanzia vareton|21|pula
varetonova stancija - stanzia vareton|17|pula
varetonova stancija - stanzia vareton|29|pula
ulica trsine - via trsine|29|pula
vodnjanska cesta - via dignano|54|pula
trlji|46|orihi
pješčana uvala|2|ogranak 16 pješčana uvala
pješčana uvala|3|ogranak 37 pješčana uvala
vintijan|34|vintijan
vintijan|60|vintijan
ulica ližnjamoro - via lisgnamoro|16|pula
jeromelina ulica - via viktor jeromela|22|pula
pješčana uvala|3|ogranak 24 pješčana uvala
pješčana uvala|4|ogranak 26 pješčana uvala
fažanska cesta - via fasana|46|pula
partizanski put - strada dei partigiani|61|pula
pješčana uvala|1|ogranak 3 pješčana uvala
pješčana uvala|9|ogranak 32 pješčana uvala
debeli vrv|21|vinkuran
fažanska cesta - via fasana|44|pula
cerneccina ulica - via domenico cernecca|18|pula
pješčana uvala|2|ogranak 18 pješčana uvala
pješčana uvala|2|ogranak 46 pješčana uvala
debeli vrv|52|vinkuran
grandići|5a|grandići
valtura|22a|valtura
pješčana uvala|10|ogranak 8 pješčana uvala
pješčana uvala|6|ogranak 11 pješčana uvala
vintijan|120|vintijan
vintijan|33|vintijan
debeli vrv|35|vinkuran
varetonova stancija - stanzia vareton|10|pula
ušići dvori|176|valtura
kalčeva ulica - via jurica kalc|21a|pula
pješčana uvala|2|ogranak 35 pješčana uvala
debeli vrv|45|vinkuran
štinjanska cesta - via stignano|21|pula
orihi|15a|orihi
partizanski put - strada dei partigiani|43/1|pula
mutilska ulica - via mutila|111|pula
ulica kašćuni - via castion|89|pula
pješčana uvala|4|ogranak 19 pješčana uvala
pješčana uvala|4|ogranak 29 pješčana uvala
debeli vrv|44|vinkuran
paredine|50a|premantura
ulica ližnjamoro - via lisgnamoro|30|pula
pješčana uvala|5|ogranak 31 pješčana uvala
