gornje baredine - baredine di sopra|7a|baredine - baredine
kumičićeva ulica - via eugen kumičić|18|pula
labinska ulica - via albona|53|pula
rovinjska ulica - via rovigno|12|pula
ulica borik - via del pineto|8|pula
ulica borik - via del pineto|25|pula
mutilska ulica - via mutila|93|pula
lošinjska ulica - via lussino|35|pula
lošinjska ulica - via lussino|37|pula
karlovačka ulica - via karlovac|19|pula
smareglina ulica - via antonio smareglia|5|pula
ulica borik - via del pineto|62|pula
valdebečki put - via valdibecco|34|pula
put od fortica - strada dei forti|47|pula
marulićeva ulica - via marko marulić|4|pula
prilaz pjacal - via piazzale|9|pula
put od fortica - strada dei forti|143|pula
medulinska cesta - via medolino|40|pula
medulinska cesta - via medolino|42|pula
šibenska ulica - via sebenico|9|pula
šišanska cesta - via sissano|76|pula
ulica begovica - via begovizza|5|pula
monvidalska ulica - via monvidal|22|pula
monvidalska ulica - via monvidal|30|pula
nazorova ulica - via vladimir nazor|37|pula
šišanska cesta - via sissano|121|pula
ulica škokovica - via skokovica|32|pula
prilaz puljskih španjolskih boraca - via dei combattenti polesi di spagna|24|pula
prilaz puljskih španjolskih boraca - via dei combattenti polesi di spagna|26|pula
stiglicheva ulica - via alfredo stiglich|26|pula
ulica sisplac - via sisplaz|2|pula
ulica sisplac - via sisplaz|11|pula
ulica sisplac - via sisplaz|22|pula
šenoina ulica - via august šenoa|26|pula
ulica valdefora - via valdefora|8|pula
ulica pradorlando - via prá d'orlando|18|pula
osječka ulica - via osijek|30|pula
paduljski put - via paduli|116|pula
furlanski prilaz - via dei furlani|1|pula
kalčeva ulica - via jurica kalc|13|pula
kukuljevićeva ulica - via ivan kukuljević sakcinski|9|pula
uskočka ulica - via degli uscocchi|16|pula
radićeva ulica - via stjepan radić|2|pula
radićeva ulica - via stjepan radić|22|pula
ulica kačića miošića - via andrija kačić miošić|1|pula
kašićeva ulica - via bartol kašić|6|pula
puntera|16|puntera
ulica biondi domenico - via domenico biondi|3|rovinj - rovigno
ulica prve istarske brigade - via prima brigata istriana|21|rovinj - rovigno
ulica ruže petrović - via ruža petrović|2|rovinj - rovigno
ulica ruže petrović - via ruža petrović|7|rovinj - rovigno
breg ivanovci|24|rogočana
smareglijeva ulica - via antonio smareglia|3|rovinj - rovigno
ulica stjepana radića - via stjepan radić|15|rovinj - rovigno
ulica stjepana radića - via stjepan radić|19|rovinj - rovigno
